Unnamed: 0,Cuckoo,Wolf,Ant,Bee,PSO,Flower Pollination,FireFly,Elephant,Bat
,15,16,18,19,20,20,20,21,21
1,IA1,IA1,IA1,IA1,IA1,IA1,IA1,IA1,IA1
2,IA3,IA5,IA3,IA3,IA3,IA3,IA3,IA3,IA3
3,CON3,CON3,IA5,IA5,IA5,IA5,IA5,IA5,IA5
4,INT1,INT1,CON3,CON3,CON3,CON3,CON3,CON3,CON3
5,INT2,INT2,INT1,INT1,INT1,INT1,INT1,INT1,INT1
6,INT3,INT3,INT2,INT2,INT2,INT2,INT2,INT2,INT2
7,AVL1,AVL1,INT3,INT3,INT3,INT3,INT3,INT3,INT3
8,AT1,AVL2,AVL1,AVL1,AVL1,AVL1,AVL1,AVL1,AVL1
9,AT3,AVL3,AVL2,AVL2,AVL2,AVL2,AVL2,AVL2,AVL2
10,AT4,AT1,AVL3,AVL3,AVL3,AVL3,AVL3,AVL3,AVL3
11,NR1,AT2,AT1,AT1,AT1,AT1,AT1,AT1,AT1
12,NR2,AT3,AT2,AT2,AT2,AT2,AT2,AT2,AT2
13,NR4,AT4,AT3,AT3,AT3,AT3,AT3,AT3,AT3
14,DL6,NR1,AT4,AT4,AT4,AT4,AT4,AT4,AT4
15,DL9,NR2,NR1,NR1,NR1,NR1,NR1,NR1,NR1
16,,NR3,NR2,NR2,NR2,NR2,NR2,NR2,NR2
17,,,NR3,NR3,NR3,NR3,NR3,NR3,NR4
18,,,DL10,DL6,NR4,NR4,DL4,DL3,DL6
19,,,,DL9,DL3,DL6,DL9,DL7,DL9
20,,,,,DL9,DL9,DL10,Daily_App_Usage,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,   
